 "x_c",  "y_c",  "u_c",  "v_c",  "x",  "y",  "u",  "v",  "sigma",  "Xp",  "Yp"
-4.63831,8.48538,-0.00147668,0.000418447,1054,713,1.19113,5.06906,1,-4.63979,8.4858
-4.44732,8.48538,-0.00140324,0.00041937,1061,713,1.1938,5.06843,1,-4.44873,8.4858
-4.25633,8.48538,-0.00131027,0.000321109,1068,713,1.19728,5.07139,1,-4.25764,8.4857
-4.06534,8.48538,-0.00104706,0.000260027,1075,713,1.20687,5.07304,1,-4.06639,8.48564
-3.87436,8.48538,-0.000737113,0.00023518,1082,713,1.2183,5.07335,1,-3.87509,8.48562
-3.68337,8.48538,-0.000660586,0.000164577,1089,713,1.22104,5.07538,1,-3.68403,8.48555
-3.49238,8.48538,-0.000857057,-5.18553e-06,1096,713,1.21385,5.08099,1,-3.49323,8.48538
-3.30139,8.48538,-0.00106352,3.48615e-05,1103,713,1.20633,5.07891,1,-3.30245,8.48542
-3.1104,8.48538,-0.00115695,0.00038675,1110,713,1.20282,5.06545,1,-3.11155,8.48577
-2.91941,8.48538,-0.00118673,0.00064422,1117,713,1.20184,5.05545,1,-2.9206,8.48603
-2.72842,8.48538,-0.0011536,0.000523076,1124,713,1.20299,5.05925,1,-2.72957,8.48591
-2.53743,8.48538,-0.000980292,0.000276988,1131,713,1.2093,5.06768,1,-2.53841,8.48566
-2.34644,8.48538,-0.00071732,0.00022735,1138,713,1.21897,5.0689,1,-2.34716,8.48561
-2.15545,8.48538,-0.000574034,0.000171046,1145,713,1.2242,5.07036,1,-2.15603,8.48555
-1.96446,8.48538,-0.000630677,-4.83187e-05,1152,713,1.22217,5.07783,1,-1.96509,8.48533
-1.77347,8.48538,-0.000760509,-0.000218086,1159,713,1.21743,5.08341,1,-1.77423,8.48516
-1.58248,8.48538,-0.000810455,-0.000189497,1166,713,1.21559,5.08181,1,-1.58329,8.48519
-1.39149,8.48538,-0.00072056,-6.17369e-05,1173,713,1.21885,5.07653,1,-1.39221,8.48532
-1.2005,8.48538,-0.000564023,9.93959e-05,1180,713,1.22467,5.06998,1,-1.20107,8.48548
-1.00952,8.48538,-0.000450762,0.00023383,1187,713,1.22879,5.06451,1,-1.00997,8.48562
-0.818526,8.48538,-0.000424126,0.000144157,1194,713,1.22972,5.06718,1,-0.81895,8.48553
-0.627536,8.48538,-0.000360848,-0.000125763,1201,713,1.23202,5.07647,1,-0.627897,8.48526
-0.436547,8.48538,-0.000187677,-0.000246919,1208,713,1.23846,5.08032,1,-0.436735,8.48514
-0.245558,8.48538,-3.11273e-05,-0.000106767,1215,713,1.24419,5.07459,1,-0.245589,8.48528
-0.0545684,8.48538,-8.4398e-05,7.0596e-05,1222,713,1.24223,5.06751,1,-0.0546528,8.48545
0.136421,8.48538,-0.000300882,5.91455e-05,1229,713,1.23426,5.06733,1,0.13612,8.48544
0.32741,8.48538,-0.000574012,-2.00111e-05,1236,713,1.22422,5.06964,1,0.326836,8.48536
0.5184,8.48538,-0.000793801,8.59301e-06,1243,713,1.21623,5.068,1,0.517606,8.48539
0.709389,8.48538,-0.000860428,0.000130644,1250,713,1.21376,5.06292,1,0.708529,8.48551
0.900378,8.48538,-0.000807134,0.000212631,1257,713,1.21567,5.05931,1,0.899571,8.4856
1.09137,8.48538,-0.000703841,0.000180172,1264,713,1.21948,5.05993,1,1.09066,8.48556
1.28236,8.48538,-0.000457436,0.000158192,1271,713,1.22853,5.06012,1,1.2819,8.48554
1.47335,8.48538,-9.43139e-05,0.000278299,1278,713,1.24187,5.05512,1,1.47325,8.48566
1.66434,8.48538,0.000125526,0.00048711,1285,713,1.24982,5.04686,1,1.66446,8.48587
1.85532,8.48538,7.54688e-05,0.000599623,1292,713,1.24802,5.04215,1,1.8554,8.48598
2.04631,8.48538,0.000125528,0.000492783,1299,713,1.24993,5.04548,1,2.04644,8.48588
2.2373,8.48538,0.000405173,0.000248594,1306,713,1.26009,5.05386,1,2.23771,8.48563
2.42829,8.48538,0.000528425,0.000112183,1313,713,1.2646,5.05822,1,2.42882,8.4855
2.61928,8.48538,0.000328636,0.00017321,1320,713,1.25738,5.05543,1,2.61961,8.48556
2.81027,8.48538,6.87775e-05,0.00037634,1327,713,1.24778,5.04738,1,2.81034,8.48576
3.00126,8.48538,-7.42593e-05,0.000536545,1334,713,1.24251,5.04092,1,3.00119,8.48592
3.19225,8.48538,-0.000114311,0.000553689,1341,713,1.24111,5.0397,1,3.19214,8.48594
3.38324,8.48538,-4.40687e-06,0.000470686,1348,713,1.24506,5.04212,1,3.38324,8.48585
3.57423,8.48538,0.000255466,0.00042677,1355,713,1.25462,5.04318,1,3.57448,8.48581
